filename, texts, noretweets, engtweets, oldscruff, newscruff
rona-rumours-corpus-ᾱ-2020-04-13.jsonl.gz,      409,      556,      409,      110,      110
rona-rumours-corpus-ᾱ-2020-04-14.jsonl.gz,     2421,     3409,     2421,     1441,      270
rona-rumours-corpus-ᾱ-2020-04-15.jsonl.gz,     1892,     2745,     1892,     1130,      193
rona-rumours-corpus-ᾱ-2020-04-16.jsonl.gz,     2043,     2921,     2043,     1226,      248
rona-rumours-corpus-ᾱ-2020-04-17.jsonl.gz,     3199,     4053,     3199,     1873,      497
rona-rumours-corpus-ᾱ-2020-04-18.jsonl.gz,     2596,     3340,     2596,     1570,      417
rona-rumours-corpus-ᾱ-2020-04-19.jsonl.gz,     2510,     3249,     2510,     1426,      404
rona-rumours-corpus-ᾱ-2020-04-20.jsonl.gz,     3033,     4036,     3033,     1766,      448
rona-rumours-corpus-ᾱ-2020-04-21.jsonl.gz,     3705,     4867,     3705,     2073,      496
rona-rumours-corpus-ᾱ-2020-04-22.jsonl.gz,     4637,     6166,     4637,     2437,      624
rona-rumours-corpus-ᾱ-2020-04-23.jsonl.gz,     4780,     6547,     4780,     2521,      602
rona-rumours-corpus-ᾱ-2020-04-24.jsonl.gz,     4192,     5713,     4192,     2102,      516
rona-rumours-corpus-ᾱ-2020-04-25.jsonl.gz,     6689,     8129,     6689,     3698,     1333
rona-rumours-corpus-ᾱ-2020-04-26.jsonl.gz,     7033,     8406,     7033,     4211,     1528
rona-rumours-corpus-ᾱ-2020-04-27.jsonl.gz,     7167,     8426,     7167,     3964,     1343
rona-rumours-corpus-ᾱ-2020-04-28.jsonl.gz,     7781,     9666,     7781,     4420,     1485
rona-rumours-corpus-ᾱ-2020-04-29.jsonl.gz,     6928,     8201,     6928,     3998,     1389
rona-rumours-corpus-ᾱ-2020-04-30.jsonl.gz,     9129,    10744,     9129,     5595,     2069
rona-rumours-corpus-ᾱ-2020-05-01.jsonl.gz,     9907,    11315,     9907,     6111,     2268
rona-rumours-corpus-ᾱ-2020-05-02.jsonl.gz,    12976,    14749,    12976,     8082,     2882
rona-rumours-corpus-ᾱ-2020-05-03.jsonl.gz,    14263,    16073,    14263,     9108,     3255
rona-rumours-corpus-ᾱ-2020-05-04.jsonl.gz,    13400,    15442,    13400,     8369,     2957
rona-rumours-corpus-ᾱ-2020-05-05.jsonl.gz,    15421,    17358,    15421,     9598,     3467
rona-rumours-corpus-ᾱ-2020-05-06.jsonl.gz,    18297,    20312,    18297,    11012,     3775
rona-rumours-corpus-ᾱ-2020-05-07.jsonl.gz,    20700,    22574,    20700,    13261,     4924
rona-rumours-corpus-ᾱ-2020-05-08.jsonl.gz,    37379,    39871,    37379,    22864,     8476
rona-rumours-corpus-ᾱ-2020-05-09.jsonl.gz,    37328,    41917,    37328,    23039,     8728
rona-rumours-corpus-ᾱ-2020-05-10.jsonl.gz,    59750,    74355,    59750,    36408,    12857
rona-rumours-corpus-ᾱ-2020-05-11.jsonl.gz,    36567,    42788,    36567,    21284,     7463
rona-rumours-corpus-ᾱ-2020-05-12.jsonl.gz,    31856,    35982,    31856,    18886,     7305
rona-rumours-corpus-ᾱ-2020-05-13.jsonl.gz,    26060,    29515,    26060,    16098,     6008
rona-rumours-corpus-ᾱ-2020-05-14.jsonl.gz,    27289,    30718,    27289,    16720,     6226
rona-rumours-corpus-ᾱ-2020-05-15.jsonl.gz,    26857,    29880,    26857,    16452,     6075
rona-rumours-corpus-ᾱ-2020-05-16.jsonl.gz,    26048,    29199,    26048,    15438,     5563
rona-rumours-corpus-ᾱ-2020-05-17.jsonl.gz,    24780,    27220,    24780,    14464,     5634
rona-rumours-corpus-ᾱ-2020-05-18.jsonl.gz,    23069,    25959,    23069,    13886,     5190
rona-rumours-corpus-ᾱ-2020-05-19.jsonl.gz,    19500,    22073,    19500,    11786,     4427
rona-rumours-corpus-ᾱ-2020-05-20.jsonl.gz,    19669,    22037,    19669,    11835,     4277
rona-rumours-corpus-ᾱ-2020-05-21.jsonl.gz,    20266,    23258,    20266,    12151,     4456
rona-rumours-corpus-ᾱ-2020-05-22.jsonl.gz,    18542,    21893,    18542,    11533,     4200
rona-rumours-corpus-ᾱ-2020-05-23.jsonl.gz,    20732,    24190,    20732,    13029,     4840
rona-rumours-corpus-ᾱ-2020-05-24.jsonl.gz,    29533,    32860,    29533,    18631,     6697
rona-rumours-corpus-ᾱ-2020-05-25.jsonl.gz,    27625,    31554,    27625,    17225,     6542
rona-rumours-corpus-ᾱ-2020-05-26.jsonl.gz,    21913,    25885,    21913,    13427,     5126
rona-rumours-corpus-ᾱ-2020-05-27.jsonl.gz,    18477,    21492,    18477,    11089,     4187
rona-rumours-corpus-ᾱ-2020-05-28.jsonl.gz,    15519,    18073,    15519,     9784,     3684
rona-rumours-corpus-ᾱ-2020-05-29.jsonl.gz,    14170,    16850,    14170,     8838,     3319
rona-rumours-corpus-ᾱ-2020-05-30.jsonl.gz,    14219,    16479,    14219,     9075,     3723
rona-rumours-corpus-ᾱ-2020-05-31.jsonl.gz,    13956,    16170,    13956,     8572,     3440
rona-rumours-corpus-ᾱ-2020-06-01.jsonl.gz,    11884,    14236,    11884,     7329,     2834
rona-rumours-corpus-ᾱ-2020-06-02.jsonl.gz,    11082,    13547,    11082,     6920,     2612
rona-rumours-corpus-ᾱ-2020-06-03.jsonl.gz,    11804,    14824,    11804,     7465,     2758
rona-rumours-corpus-ᾱ-2020-06-04.jsonl.gz,    13375,    15852,    13375,     8452,     2985
rona-rumours-corpus-ᾱ-2020-06-05.jsonl.gz,    12370,    14599,    12370,     7676,     2817
rona-rumours-corpus-ᾱ-2020-06-06.jsonl.gz,    10976,    13292,    10976,     6979,     2697
rona-rumours-corpus-ᾱ-2020-06-07.jsonl.gz,     9696,    11740,     9696,     6009,     2265
rona-rumours-corpus-ᾱ-2020-06-08.jsonl.gz,     9220,    11521,     9220,     5617,     2058
rona-rumours-corpus-ᾱ-2020-06-09.jsonl.gz,    10983,    13404,    10983,     6813,     2500
rona-rumours-corpus-ᾱ-2020-06-10.jsonl.gz,    10873,    13280,    10873,     6701,     2454
rona-rumours-corpus-ᾱ-2020-06-11.jsonl.gz,    10419,    13018,    10419,     6458,     2314
rona-rumours-corpus-ᾱ-2020-06-12.jsonl.gz,     9622,    11852,     9622,     6113,     2148
rona-rumours-corpus-ᾱ-2020-06-13.jsonl.gz,     9341,    11401,     9341,     5367,     2071
